K = 2
0.0114 0.00295668 17
0.0115 0.00304829 17
0.0116 0.00314219 16
0.0117 0.00323838 16
0.0118 0.00333687 17
0.0119 0.00343765 17
0.012 0.00354089 16
0.0121 0.00364875 16
0.0122 0.00376191 17
0.0123 0.00388038 16
0.0124 0.00400415 16
0.0125 0.00413322 17
0.0126 0.0042676 16
0.0127 0.00440729 17
0.0128 0.00455227 16
0.0129 0.00470256 17
0.013 0.00485816 16
0.0131 0.00501906 16
0.0132 0.00518526 17
0.0133 0.00535677 17
0.0134 0.00553359 16

K = 6
0.0009 0.00148982 17
0.001 0.00115293 16
0.0011 0.00107626 17
0.0012 0.00101573 16
0.0013 0.000962795 16
0.0014 0.000915231 16
0.0015 0.000872797 17
0.0016 0.000835397 16
0.0017 0.000803025 17
0.0018 0.000775682 17
0.0019 0.000753355 17
0.002 0.000736083 99
0.0021 0.000721007 40
0.0022 0.000707885 26
0.0023 0.000695943 28
0.0024 0.000685721 78
0.0025 0.000677219 35
0.0026 0.000670436 204
0.0027 0.000665372 106
0.0028 0.000662028 107
0.0029 0.000660404 167
0.003 0.000659459 174
0.0031 0.000658244 32
0.0032 0.000658069 104
0.0033 0.00065806 114
0.0034 0.000656639 245
0.0035 0.000655269 118
0.0036 0.000654575 34
0.0037 0.000654557 201
0.0038 0.000655214 111
0.0039 0.000656547 33
0.004 0.000658556 79
0.0041 0.00066124 55
0.0042 0.0006646 148
0.0043 0.000668636 137
0.0044 0.00067171 135
0.0045 0.000672835 225
0.0046 0.000674519 34
0.0047 0.00067676 142
0.0048 0.000679559 58
0.0049 0.000682916 59
0.005 0.000686831 25
0.0051 0.000691304 179
0.0052 0.000696335 69
0.0053 0.000701924 235
0.0054 0.000708071 75
0.0055 0.000714332 27
0.0056 0.000720145 139
0.0057 0.000725596 145
0.0058 0.00073185 92
0.0059 0.000738905 68
0.006 0.000746763 97
0.0061 0.000755422 70
0.0062 0.000764883 71
0.0063 0.000775146 40
0.0064 0.000786212 16
0.0065 0.000798079 16
0.0066 0.000810748 17
0.0067 0.000824219 17
0.0068 0.000838492 16
0.0069 0.000853567 17
0.007 0.000869444 17
0.0071 0.000886123 17
0.0072 0.000903604 17
0.0073 0.000921887 16
0.0074 0.000940972 16
0.0075 0.000960859 17
0.0076 0.000981548 16
0.0077 0.00100304 17
0.0078 0.00102542 16
0.0079 0.00104874 16
0.008 0.00107302 16
0.0081 0.00109824 17
0.0082 0.00112441 17
0.0083 0.00115153 16
0.0084 0.0011796 17
0.0085 0.00120923 16
0.0086 0.00124089 16
0.0087 0.0012746 16
0.0088 0.00131035 16
0.0089 0.00134813 16
0.009 0.00138796 16
0.0091 0.00142982 17
0.0092 0.00147373 16
0.0093 0.00151968 16
0.0094 0.00156766 17
0.0095 0.00161769 17
0.0096 0.00166976 16
0.0097 0.00172387 16
0.0098 0.00178002 16
0.0099 0.0018382 17
0.01 0.00189843 16
0.0101 0.0019607 16
0.0102 0.00202501 17
0.0103 0.00209136 17
0.0104 0.00215975 17
0.0105 0.00223018 17
0.0106 0.00230265 17
0.0107 0.00237716 17
0.0108 0.00245371 16
0.0109 0.0025323 17
0.011 0.00261293 16
0.0111 0.00269561 17
0.0112 0.00278036 16
0.0113 0.00286737 17
0.0114 0.00295668 17
0.0115 0.00304829 17
0.0116 0.00314219 16
0.0117 0.00323838 17
0.0118 0.00333687 17
0.0119 0.00343765 16
0.012 0.00354089 17
0.0121 0.00364875 17
0.0122 0.00376191 17
0.0123 0.00388038 16
0.0124 0.00400415 16
0.0125 0.00413322 17
0.0126 0.0042676 17
0.0127 0.00440729 16
0.0128 0.00455227 16
0.0129 0.00470256 17
0.013 0.00485816 16
0.0131 0.00501906 16
0.0132 0.00518526 16
0.0133 0.00535677 16
0.0134 0.00553359 16

K = 7
0.0009 0.00148982 17
0.001 0.00115293 17
0.0011 0.00107626 16
0.0012 0.00101573 16
0.0013 0.000962795 17
0.0014 0.000915231 17
0.0015 0.000872797 16
0.0016 0.000835397 17
0.0017 0.000803025 17
0.0018 0.000775682 17
0.0019 0.000753355 17
0.002 0.000735433 17
0.0021 0.000720169 16
0.0022 0.000706621 16
0.0023 0.000694787 16
0.0024 0.000684668 17
0.0025 0.000676263 17
0.0026 0.000670414 134
0.0027 0.000664598 36
0.0028 0.000660294 26
0.0029 0.000656787 87
0.003 0.000654315 225
0.0031 0.000652878 33
0.0032 0.000652476 39
0.0033 0.00065236 77
0.0034 0.000651608 31
0.0035 0.00065127 85
0.0036 0.00065149 129
0.0037 0.000651766 70
0.0038 0.00065261 52
0.0039 0.000654059 74
0.004 0.000655577 87
0.0041 0.000656807 78
0.0042 0.000658425 32
0.0043 0.00066043 122
0.0044 0.000662823 205
0.0045 0.000665603 130
0.0046 0.000668771 50
0.0047 0.000672327 72
0.0048 0.000676059 67
0.0049 0.000679685 249
0.005 0.000683816 173
0.0051 0.000687748 105
0.0052 0.000692194 151
0.0053 0.000697152 91
0.0054 0.000702625 90
0.0055 0.00070861 30
0.0056 0.000715109 146
0.0057 0.00072207 25
0.0058 0.000729263 26
0.0059 0.000737685 112
0.006 0.000745618 28
0.0061 0.000754781 16
0.0062 0.000764601 16
0.0063 0.000775078 16
0.0064 0.000786212 17
0.0065 0.000798079 17
0.0066 0.000810748 16
0.0067 0.000824219 16
0.0068 0.000838492 16
0.0069 0.000853567 16
0.007 0.000869444 16
0.0071 0.000886123 16
0.0072 0.000903604 16
0.0073 0.000921887 17
0.0074 0.000940972 16
0.0075 0.000960859 16
0.0076 0.000981548 17
0.0077 0.00100304 17
0.0078 0.00102542 17
0.0079 0.00104874 16
0.008 0.00107302 17
0.0081 0.00109824 16
0.0082 0.00112441 16
0.0083 0.00115153 16
0.0084 0.0011796 16
0.0085 0.00120923 17
0.0086 0.00124089 16
0.0087 0.0012746 17
0.0088 0.00131035 16
0.0089 0.00134813 16
0.009 0.00138796 17
0.0091 0.00142982 17
0.0092 0.00147373 16
0.0093 0.00151968 17
0.0094 0.00156766 16
0.0095 0.00161769 16
0.0096 0.00166976 16
0.0097 0.00172387 16
0.0098 0.00178002 17
0.0099 0.0018382 17
0.01 0.00189843 16
0.0101 0.0019607 17
0.0102 0.00202501 16
0.0103 0.00209136 16
0.0104 0.00215975 16
0.0105 0.00223018 16
0.0106 0.00230265 16
0.0107 0.00237716 16
0.0108 0.00245371 16
0.0109 0.0025323 16
0.011 0.00261293 16
0.0111 0.00269561 17
0.0112 0.00278036 17
0.0113 0.00286737 17
0.0114 0.00295668 17
0.0115 0.00304829 16
0.0116 0.00314219 16
0.0117 0.00323838 16
0.0118 0.00333687 16
0.0119 0.00343765 16
0.012 0.00354089 16
0.0121 0.00364875 18
0.0122 0.00376191 16
0.0123 0.00388038 16
0.0124 0.00400415 17
0.0125 0.00413322 16
0.0126 0.0042676 16
0.0127 0.00440729 17
0.0128 0.00455227 17
0.0129 0.00470256 16
0.013 0.00485816 16
0.0131 0.00501906 16
0.0132 0.00518526 17
0.0133 0.00535677 16
0.0134 0.00553359 16

K = 8
0.0009 0.00148982 17
0.001 0.00115293 16
0.0011 0.00107626 17
0.0012 0.00101573 16
0.0013 0.000962795 17
0.0014 0.000915231 17
0.0015 0.000872797 18
0.0016 0.000835397 16
0.0017 0.000803025 17
0.0018 0.000775682 16
0.0019 0.000753355 17
0.002 0.000735433 16
0.0021 0.000720169 16
0.0022 0.000706621 16
0.0023 0.000694787 16
0.0024 0.000684668 16
0.0025 0.000676263 16
0.0026 0.000670436 128
0.0027 0.000664198 31
0.0028 0.000660119 107
0.0029 0.000656787 295
0.003 0.000653162 39
0.0031 0.000650913 86
0.0032 0.000649485 35
0.0033 0.000648877 74
0.0034 0.000648399 103
0.0035 0.000648243 86
0.0036 0.000648639 63
0.0037 0.000649588 115
0.0038 0.000650505 84
0.0039 0.00065182 211
0.004 0.000652721 130
0.0041 0.00065401 215
0.0042 0.000655685 52
0.0043 0.000657747 99
0.0044 0.000660197 36
0.0045 0.000663033 109
0.0046 0.000666257 128
0.0047 0.000669867 102
0.0048 0.000673864 30
0.0049 0.000677463 69
0.005 0.000681166 114
0.0051 0.000685357 102
0.0052 0.000690049 113
0.0053 0.000695241 122
0.0054 0.000700933 26
0.0055 0.000707124 25
0.0056 0.000713816 25
0.0057 0.000721007 27
0.0058 0.000728699 17
0.0059 0.00073689 19
0.006 0.000745582 17
0.0061 0.000754781 16
0.0062 0.000764601 16
0.0063 0.000775078 16
0.0064 0.000786212 16
0.0065 0.000798079 16
0.0066 0.000810748 16
0.0067 0.000824219 16
0.0068 0.000838492 17
0.0069 0.000853567 17
0.007 0.000869444 17
0.0071 0.000886123 16
0.0072 0.000903604 16
0.0073 0.000921887 17
0.0074 0.000940972 17
0.0075 0.000960859 16
0.0076 0.000981548 16
0.0077 0.00100304 16
0.0078 0.00102542 17
0.0079 0.00104874 16
0.008 0.00107302 17
0.0081 0.00109824 17
0.0082 0.00112441 16
0.0083 0.00115153 16
0.0084 0.0011796 16
0.0085 0.00120923 16
0.0086 0.00124089 16
0.0087 0.0012746 16
0.0088 0.00131035 16
0.0089 0.00134813 16
0.009 0.00138796 16
0.0091 0.00142982 16
0.0092 0.00147373 16
0.0093 0.00151968 16
0.0094 0.00156766 16
0.0095 0.00161769 16
0.0096 0.00166976 16
0.0097 0.00172387 16
0.0098 0.00178002 16
0.0099 0.0018382 16
0.01 0.00189843 16
0.0101 0.0019607 17
0.0102 0.00202501 17
0.0103 0.00209136 16
0.0104 0.00215975 17
0.0105 0.00223018 16
0.0106 0.00230265 16
0.0107 0.00237716 17
0.0108 0.00245371 17
0.0109 0.0025323 16
0.011 0.00261293 16
0.0111 0.00269561 17
0.0112 0.00278036 16
0.0113 0.00286737 16
0.0114 0.00295668 16
0.0115 0.00304829 16
0.0116 0.00314219 17
0.0117 0.00323838 16
0.0118 0.00333687 16
0.0119 0.00343765 16
0.012 0.00354089 16
0.0121 0.00364875 16
0.0122 0.00376191 17
0.0123 0.00388038 16
0.0124 0.00400415 16
0.0125 0.00413322 16
0.0126 0.0042676 16
0.0127 0.00440729 16
0.0128 0.00455227 17
0.0129 0.00470256 16
0.013 0.00485816 16
0.0131 0.00501906 16
0.0132 0.00518526 16
0.0133 0.00535677 16
0.0134 0.00553359 16

K = 9
0.0009 0.00148982 17
0.001 0.00115293 16
0.0011 0.00107626 16
0.0012 0.00101573 16
0.0013 0.000962795 16
0.0014 0.000915231 17
0.0015 0.000872797 16
0.0016 0.000835397 17
0.0017 0.000803025 16
0.0018 0.000775682 16
0.0019 0.000753355 17
0.002 0.000735433 16
0.0021 0.000720169 16
0.0022 0.000706621 16
0.0023 0.000694787 16
0.0024 0.000684668 16
0.0025 0.000676263 17
0.0026 0.000669564 16
0.0027 0.000664598 48
0.0028 0.000659832 151
0.0029 0.000656787 50
0.003 0.000652825 40
0.0031 0.000650913 122
0.0032 0.000648754 228
0.0033 0.000647794 90
0.0034 0.000646993 79
0.0035 0.000646741 36
0.0036 0.000646542 34
0.0037 0.000647359 90
0.0038 0.000648725 189
0.0039 0.000650535 35
0.004 0.000651539 75
0.0041 0.000652925 131
0.0042 0.000655685 80
0.0043 0.000656845 88
0.0044 0.000659076 122
0.0045 0.000661647 196
0.0046 0.000664576 125
0.0047 0.000667864 36
0.0048 0.000671511 92
0.0049 0.000675517 58
0.005 0.000679882 33
0.0051 0.000684605 33
0.0052 0.000689628 200
0.0053 0.000695241 26
0.0054 0.000700753 17
0.0055 0.000707027 17
0.0056 0.000713776 18
0.0057 0.000721 17
0.0058 0.000728699 16
0.0059 0.00073689 17
0.006 0.000745582 17
0.0061 0.000754781 16
0.0062 0.000764601 16
0.0063 0.000775078 16
0.0064 0.000786212 16
0.0065 0.000798079 16
0.0066 0.000810748 16
0.0067 0.000824219 19
0.0068 0.000838492 16
0.0069 0.000853567 16
0.007 0.000869444 16
0.0071 0.000886123 17
0.0072 0.000903604 16
0.0073 0.000921887 17
0.0074 0.000940972 17
0.0075 0.000960859 16
0.0076 0.000981548 16
0.0077 0.00100304 16
0.0078 0.00102542 16
0.0079 0.00104874 16
0.008 0.00107302 16
0.0081 0.00109824 16
0.0082 0.00112441 16
0.0083 0.00115153 17
0.0084 0.0011796 16
0.0085 0.00120923 16
0.0086 0.00124089 16
0.0087 0.0012746 16
0.0088 0.00131035 17
0.0089 0.00134813 17
0.009 0.00138796 16
0.0091 0.00142982 18
0.0092 0.00147373 17
0.0093 0.00151968 16
0.0094 0.00156766 16
0.0095 0.00161769 16
0.0096 0.00166976 16
0.0097 0.00172387 17
0.0098 0.00178002 16
0.0099 0.0018382 16
0.01 0.00189843 16
0.0101 0.0019607 17
0.0102 0.00202501 16
0.0103 0.00209136 18
0.0104 0.00215975 16
0.0105 0.00223018 16
0.0106 0.00230265 16
0.0107 0.00237716 16
0.0108 0.00245371 16
0.0109 0.0025323 17
0.011 0.00261293 16
0.0111 0.00269561 16
0.0112 0.00278036 16
0.0113 0.00286737 17
0.0114 0.00295668 16
0.0115 0.00304829 17
0.0116 0.00314219 16
0.0117 0.00323838 17
0.0118 0.00333687 17
0.0119 0.00343765 16
0.012 0.00354089 16
0.0121 0.00364875 16
0.0122 0.00376191 17
0.0123 0.00388038 16
0.0124 0.00400415 17
0.0125 0.00413322 16
0.0126 0.0042676 16
0.0127 0.00440729 17
0.0128 0.00455227 17
0.0129 0.00470256 17
0.013 0.00485816 16
0.0131 0.00501906 16
0.0132 0.00518526 16
0.0133 0.00535677 16
0.0134 0.00553359 16

K = 10
0.0009 0.00148982 17
0.001 0.00115293 17
0.0011 0.00107626 17
0.0012 0.00101573 17
0.0013 0.000962795 17
0.0014 0.000915231 17
0.0015 0.000872797 16
0.0016 0.000835397 16
0.0017 0.000803025 16
0.0018 0.000775682 17
0.0019 0.000753355 17
0.002 0.000735433 16
0.0021 0.000720169 17
0.0022 0.000706621 17
0.0023 0.000694787 16
0.0024 0.000684668 17
0.0025 0.000676263 16
0.0026 0.000669564 17
0.0027 0.000664143 16
0.0028 0.00065959 16
0.0029 0.000655797 17
0.003 0.000653162 37
0.0031 0.000650913 146
0.0032 0.000648374 16
0.0033 0.000646971 17
0.0034 0.000646114 17
0.0035 0.000645805 16
0.0036 0.000646042 28
0.0037 0.000646812 59
0.0038 0.000647578 68
0.0039 0.000648673 130
0.004 0.000650097 179
0.0041 0.00065185 146
0.0042 0.000654538 123
0.0043 0.000655982 31
0.0044 0.000658281 32
0.0045 0.000661647 39
0.0046 0.00066394 133
0.0047 0.000667302 99
0.0048 0.000671017 73
0.0049 0.000675087 17
0.005 0.000679512 16
0.0051 0.00068429 17
0.0052 0.000689423 16
0.0053 0.00069491 16
0.0054 0.000700753 16
0.0055 0.000707027 17
0.0056 0.000713776 17
0.0057 0.000721 17
0.0058 0.000728699 17
0.0059 0.00073689 16
0.006 0.000745582 17
0.0061 0.000754781 17
0.0062 0.000764601 17
0.0063 0.000775078 16
0.0064 0.000786212 16
0.0065 0.000798079 17
0.0066 0.000810748 16
0.0067 0.000824219 16
0.0068 0.000838492 18
0.0069 0.000853567 16
0.007 0.000869444 16
0.0071 0.000886123 18
0.0072 0.000903604 17
0.0073 0.000921887 17
0.0074 0.000940972 16
0.0075 0.000960859 16
0.0076 0.000981548 16
0.0077 0.00100304 16
0.0078 0.00102542 16
0.0079 0.00104874 16
0.008 0.00107302 17
0.0081 0.00109824 17
